sku,name,subcategory,current_price,proposed_price,confidence,reason,image_path
BAT001,"Bateri Kuzhine Premium Chrome",Bateria,45.99,22.90,medium,"Image inspected: simple chrome single-lever high-arc faucet; no premium sprayer/filter feature is visible.",products/bateria/BAT001.jpg
BAT002,"Bateri Kuzhine Mat Black",Bateria,52.99,32.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT002.jpg
BAT003,"Bateri Kuzhine Gold Premium",Bateria,89.99,22.90,medium,"Manually reviewed low-confidence item: visible product is a chrome bide/lavaman mixer, not a gold premium kitchen faucet; final approved price 19.90.",products/bateria/BAT003.jpg
BAT004,"Bateri Kuzhine Brushed Nickel",Bateria,65.99,7.90,high,"Image hash matches source 1671; accepted OCR metadata identifies ""Qeshme nje uj Katrore B"" with source-derived retail 4.78, rounded to Denata retail bucket.",products/bateria/BAT004.jpg
BAT005,"Bateri Kuzhine Industrial",Bateria,75.99,7.90,high,"Image hash matches source 1675; accepted OCR metadata identifies ""Qeshme Oborri B004 Vizll+"" with source-derived retail 5.08, rounded to Denata retail bucket.",products/bateria/BAT005.jpg
BAT006,"Bateri Kuzhine me Sensor",Bateria,99.99,15.50,medium,"Manually reviewed low-confidence item: visible product is a simple chrome one-water faucet with tall curved spout; sensor claim is not visible; final approved price 12.50.",products/bateria/BAT006.jpg
BAT007,"Bateri Kuzhine me Filtër Uji",Bateria,100.00,32.90,high,"Image hash matches source 20021; accepted OCR metadata identifies ""Dush Bateri Katrore 9038Adl"" with source-derived retail 29.00, rounded to Denata retail bucket.",products/bateria/BAT007.jpg
BAT008,"Bateri Kuzhine Retro Vintage",Bateria,22.99,17.90,high,"Image hash matches source 20092; accepted OCR metadata identifies ""Bateri Bojleri Vogel 906"" with source-derived retail 15.95, rounded to Denata retail bucket.",products/bateria/BAT008.jpg
BAT009,"Bateri Kuzhine Commercial Grade",Bateria,100.00,7.90,high,"Image hash matches source 20093; accepted OCR metadata identifies ""Qeshme nje Uje 8723T-S020"" with source-derived retail 3.63, rounded to Denata retail bucket.",products/bateria/BAT009.jpg
BAT010,"Bateri Kuzhine Pot Filler",Bateria,100.00,4.50,high,"Image hash matches source 20098; accepted OCR metadata identifies ""Ek Valvol (Ventil) 3/8"" with source-derived retail 1.16, rounded to Denata retail bucket.",products/bateria/BAT010.jpg
BAT011,"Bateri Kuzhine Smart Touch",Bateria,100.00,32.90,medium,"Manually reviewed low-confidence item: visible product is a chrome bath/shower mixer with diverter; smart-touch claim is not visible; final approved price 29.90.",products/bateria/BAT011.jpg
BAT012,"Bateri Kuzhine Waterfall",Bateria,79.99,12.90,high,"Image hash matches source 20168; accepted OCR metadata identifies ""Bateri Llavamani 18Cm"" with source-derived retail 9.42, rounded to Denata retail bucket.",products/bateria/BAT012.jpg
BAT013,"Bateri Banjo Classic Chrome",Bateria,35.99,12.90,high,"Image hash matches source 20169; accepted OCR metadata identifies ""Baterillavamani 25Cm"" with source-derived retail 9.42, rounded to Denata retail bucket.",products/bateria/BAT013.jpg
BAT014,"Bateri Banjo Modern Mat Black",Bateria,49.99,17.90,high,"Image hash matches source 20217; accepted OCR metadata identifies ""Bateri Harkore U e Zeze"" with source-derived retail 14.50, rounded to Denata retail bucket.",products/bateria/BAT014.jpg
BAT015,"Bateri Banjo Gold Edition",Bateria,95.99,42.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT015.jpg
BAT016,"Bateri Banjo Harkore L",Bateria,34.99,17.90,high,"Image hash matches source 20219; accepted OCR metadata identifies ""Bateri Harkore L e Zeze"" with source-derived retail 15.95, rounded to Denata retail bucket.",products/bateria/BAT016.jpg
BAT017,"Bateri Banjo Harkore L white",Bateria,34.99,22.90,high,"Image hash matches source 20220; accepted OCR metadata identifies ""Bateri Harkore L e Bardhe"" with source-derived retail 17.40, rounded to Denata retail bucket.",products/bateria/BAT017.jpg
BAT018,"Bateri Banjo Termostatike",Bateria,89.99,17.90,high,"Image hash matches source 20221; accepted OCR metadata identifies ""Bateri Harkore 7 e Zeze"" with source-derived retail 14.50, rounded to Denata retail bucket.",products/bateria/BAT018.jpg
BAT019,"Bateri Banjo me Kaskadë",Bateria,79.99,17.90,high,"Image hash matches source 20222; accepted OCR metadata identifies ""Bateri Harkore 7 e Bardhe"" with source-derived retail 14.50, rounded to Denata retail bucket.",products/bateria/BAT019.jpg
BAT020,"Bateri Banjo me Sensor",Bateria,69.99,42.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT020.jpg
BAT021,"Bateri Banjo të Gjatë",Bateria,54.99,27.90,high,"Image hash matches source 20331; accepted OCR metadata identifies ""Tush Bateri Automatike e Zeze"" with source-derived retail 26.10, rounded to Denata retail bucket.",products/bateria/BAT021.jpg
BAT022,"Bateri Banjo të Shkurtër",Bateria,29.99,27.90,high,"Image hash matches source 20332; accepted OCR metadata identifies ""Tush Bateri Automatike e Bardh"" with source-derived retail 26.10, rounded to Denata retail bucket.",products/bateria/BAT022.jpg
BAT023,"Bateri Banjo LED",Bateria,84.99,42.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT023.jpg
BAT024,"Bateri Banjo Vintage",Bateria,74.99,22.90,high,"Image hash matches source 20334; accepted OCR metadata identifies ""Bateri Automatike Katerore Zez"" with source-derived retail 21.75, rounded to Denata retail bucket.",products/bateria/BAT024.jpg
BAT025,"Bateri Banjo Wall Mount",Bateria,49.99,17.90,high,"Image hash matches source 20335; accepted OCR metadata identifies ""Bateri Automatike Jl-S1030 e Zeze"" with source-derived retail 16.68, rounded to Denata retail bucket.",products/bateria/BAT025.jpg
BAT026,"Bateri Llavabo Standard Chrome",Bateria,24.99,32.90,medium,"Manually reviewed low-confidence item: visible product is a tall matte white modern lavaman faucet; suspect OCR was not used as deterministic evidence; final approved price 29.90.",products/bateria/BAT026.jpg
BAT027,"Bateri Llavabo High Arc",Bateria,44.99,32.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT027.jpg
BAT028,"Bateri Llavabo Wall Mount",Bateria,39.99,17.90,high,"Image hash matches source 20378; accepted OCR metadata identifies ""Bateri Automatike Fleksibile 8171A-2 Vizllume"" with source-derived retail 14.50, rounded to Denata retail bucket.",products/bateria/BAT028.jpg
BAT029,"Bateri Llavabo Waterfall",Bateria,59.99,27.90,high,"Image hash matches source 20379; accepted OCR metadata identifies ""Tush Bateri Automatike 8506"" with source-derived retail 23.20, rounded to Denata retail bucket.",products/bateria/BAT029.jpg
BAT030,"Bateri Llavabo me Sensor",Bateria,54.99,17.90,high,"Image hash matches source 20380; accepted OCR metadata identifies ""Bateri Llavabos (Lavamani) 7206"" with source-derived retail 14.50, rounded to Denata retail bucket.",products/bateria/BAT030.jpg
