"category","subcategory","name","description","price","compare_price","stock","sku","image","is_active","is_featured"
"Tusha","Bateria","Bateri Kuzhine Premium Chrome","Bateri kuzhine premium me finish chrome. Spërkatës i integruar me 2 funksione. Kartridxhe qeramike japoneze. Garanci 5 vjet.","45.99","59.99","50","BAT001","products/bateria/BAT001.jpg","yes","yes"
"Tusha","Bateria","Bateri Kuzhine Mat Black","Bateri kuzhine moderne me finish mat black. Rezistente ndaj njollave dhe gjurmëve të gishtërinjve. Instalim i lehtë.","52.99","69.99","45","BAT002","products/bateria/BAT002.jpg","yes","yes"
"Tusha","Bateria","Bateri Kuzhine Gold Premium","Bateri kuzhine luksoze me finish gold 24k. Dizajn klasik. Ideale për kuzhina ekskluzive.","89.99","129.99","25","BAT003","products/bateria/BAT003.jpg","yes","yes"
"Tusha","Bateria","Bateri Kuzhine Brushed Nickel","Bateri kuzhine me finish brushed nickel. Rezistente ndaj gërvishtjeve. Teknologji për kursim uji 30%.","65.99","85.99","40","BAT004","products/bateria/BAT004.jpg","yes","yes"
"Tusha","Bateria","Bateri Kuzhine Industrial","Bateri kuzhine në stil industrial. Finish i qëndrueshëm. Material premium.","75.99","99.99","35","BAT005","products/bateria/BAT005.jpg","yes","yes"
"Tusha","Bateria","Bateri Kuzhine me Sensor","Bateri kuzhine automatike me sensor lëvizjeje. Higjienike dhe praktike. Kursen ujë automatikisht.","99.99","139.99","30","BAT006","products/bateria/BAT006.jpg","yes","yes"
"Tusha","Bateria","Bateri Kuzhine me Filtër Uji","Bateri kuzhine me filtër uji të integruar. Filtri heq papastërtitë dhe përmirëson shijen.","119.99","159.99","20","BAT007","products/bateria/BAT007.jpg","yes","yes"
"Tusha","Bateria","Bateri Kuzhine Retro Vintage","Bateri kuzhine në stil retro vintage. Finish bronzi i vjetëruar. Dizajn unik.","22.99","119.99","25","BAT008","products/bateria/BAT008.jpg","yes","yes"
"Tusha","Bateria","Bateri Kuzhine Commercial Grade","Bateri kuzhine për përdorim komercial. Shumë e qëndrueshme. Ideale për restorante.","149.99","199.99","15","BAT009","products/bateria/BAT009.jpg","yes","yes"
"Tusha","Bateria","Bateri Kuzhine Pot Filler","Bateri kuzhine e montuar në mur. Krahu rrotullues 180 gradë. Praktike për gatim.","129.99","179.99","15","BAT010","products/bateria/BAT010.jpg","yes","yes"
"Tusha","Bateria","Bateri Kuzhine Smart Touch","Bateri kuzhine me prekje smart. Kontrollo temperaturën me një prekje. Memorie e temperaturës.","109.99","159.99","25","BAT011","products/bateria/BAT011.jpg","yes","yes"
"Tusha","Bateria","Bateri Kuzhine Waterfall","Bateri kuzhine me efekt ujëvarë. Rrjedhja e ujit krijon efekt vizual. Spërkatës i integruar.","79.99","109.99","30","BAT012","products/bateria/BAT012.jpg","yes","yes"
"Tusha","Bateria","Bateri Banjo Classic Chrome","Bateri banjo klasike me finish chrome. Dizajn elegant. Dorezë ergonomike.","35.99","49.99","50","BAT013","products/bateria/BAT013.jpg","yes","no"
"Tusha","Bateria","Bateri Banjo Modern Mat Black","Bateri banjo moderne me finish mat black. Rezistente ndaj ujit dhe njollave.","49.99","69.99","45","BAT014","products/bateria/BAT014.jpg","yes","yes"
"Tusha","Bateria","Bateri Banjo Gold Edition","Bateri banjo luksoze me finish gold 24k. Për banjo ekskluzive. Dizajn mbresëlënës.","95.99","139.99","20","BAT015","products/bateria/BAT015.jpg","yes","yes"
"Tusha","Bateria","Bateri Banjo Harkore L","Bateri banjo me finish brushed nickel. Rezistente ndaj gërvishtjeve. Dorezë e vetme.","34.99","79.99","35","BAT016","products/bateria/BAT016.jpg","yes","yes"
"Tusha","Bateria","Bateri Banjo Harkore L white","Bateri banjo me doreza qeramike të bardha. Stil klasik dhe elegant.","34.99","59.99","50","BAT017","products/bateria/BAT017.jpg","yes","no"
"Tusha","Bateria","Bateri Banjo Termostatike","Bateri banjo me termostat për kontroll të saktë të temperaturës. Parandalon djegiet.","89.99","129.99","25","BAT018","products/bateria/BAT018.jpg","yes","yes"
"Tusha","Bateria","Bateri Banjo me Kaskadë","Bateri banjo me ujë që rrjedh si kaskadë. Efekt luksoz dhe relaksues.","79.99","109.99","30","BAT019","products/bateria/BAT019.jpg","yes","yes"
"Tusha","Bateria","Bateri Banjo me Sensor","Bateri banjo automatike pa prekje dore. Higjienike dhe praktike.","69.99","99.99","35","BAT020","products/bateria/BAT020.jpg","yes","no"
"Tusha","Bateria","Bateri Banjo të Gjatë","Bateri banjo me grykë të gjatë 150mm. Ideale për lavamanë të mëdhenj.","54.99","74.99","40","BAT021","products/bateria/BAT021.jpg","yes","no"
"Tusha","Bateria","Bateri Banjo të Shkurtër","Bateri banjo kompakte për lavamanë të vegjël. Ideale për banjo të vogla.","29.99","39.99","60","BAT022","products/bateria/BAT022.jpg","yes","no"
"Tusha","Bateria","Bateri Banjo LED","Bateri banjo me dritë LED. Ngjyra ndryshon sipas temperaturës së ujit.","84.99","119.99","30","BAT023","products/bateria/BAT023.jpg","yes","yes"
"Tusha","Bateria","Bateri Banjo Vintage","Bateri banjo në stil vintage me bronz të vjetëruar. Për banjo me stil klasik.","74.99","99.99","35","BAT024","products/bateria/BAT024.jpg","yes","no"
"Tusha","Bateria","Bateri Banjo Wall Mount","Bateri banjo e montuar në mur. Kursen hapësirë në lavaman.","49.99","69.99","45","BAT025","products/bateria/BAT025.jpg","yes","no"
